"CumulusCatalog","CumulusRecordID","CumulusRecordName","dcterms:modified","dcterms:title","dc:source","dcterms:type","ac:subtype","ac:caption","iptc:CVTerm","ac:subjectPart","ac:subjectOrientation","xmp:CreateDate","ac:digitizationDate","dcterms:creator","dc:creator","dcterms:rightsHolder","dcterms:license","dc:rights","dwc:scientificName","dwc:catalogNumber","dwc:recordedBy","dwc:recordNumber","dwc:country","dwc:countryCode","dwc:stateProvince","dwc:locality","dwc:decimalLatitude","dwc:decimalLongitude","exif:PixelXDimension","exif:PixelYDimension","HeroImage","xmp:Rating","ThumbnailUrlEnabled","PreviewUrlEnabled","FileFormat"
"flora_illustrations","1","AERIFALC.TIF","","Aerides falcata","","Image","Illustration","","","","","2012-10-18 14:43:06","2012-10-18 14:43:06","Pearson, Su","","Royal Botanic Gardens Victoria","","","Aerides falcata","","","","","","","",,,2364,2836,,,,,"TIFF Image"
"flora_illustrations","2","AERAFAST.TIF","","Aerangis fastuosa","","Image","Illustration","","","","","2012-10-18 14:43:06","2012-10-18 14:43:06","Pearson, Su","","Royal Botanic Gardens Victoria","","","Aerangis fastuosa","","","","","","","",,,2364,2836,,,,,"TIFF Image"
"flora_illustrations","3","AECHMINI.TIF","","Aechmea miniata","","Image","Illustration","","","","","2012-10-18 14:43:06","2012-10-18 14:43:06","Pearson, Su","","Royal Botanic Gardens Victoria","","","Aechmea miniata","","","","","","","",,,2364,2836,,,,,"TIFF Image"
"flora_illustrations","4","AERAGRAN.TIF","","Aeranthes grandiflora","","Image","Illustration","","","","","2012-10-18 14:43:06","2012-10-18 14:43:06","Pearson, Su","","Royal Botanic Gardens Victoria","","","Aeranthes grandiflora","","","","","","","",,,2364,2836,,,,,"TIFF Image"
"flora_illustrations","5","AERILAWR.TIF","","Aerides lawrenciae","","Image","Illustration","","","","","2012-10-18 14:43:06","2012-10-18 14:43:06","Pearson, Su","","Royal Botanic Gardens Victoria","","","Aerides lawrenciae","","","","","","","",,,2364,2836,,,,,"TIFF Image"
"flora_illustrations","6","AERIROSE.TIF","","Aerides rosea","","Image","Illustration","","","","","2012-10-18 14:43:08","2012-10-18 14:43:08","Pearson, Su","","Royal Botanic Gardens Victoria","","","Aerides rosea","","","","","","","",,,2364,2836,,,,,"TIFF Image"
"flora_illustrations","7","AGAPRAOR.TIF","","Agapanthus praecox subsp. Orientalis","","Image","Illustration","","","","","2012-10-18 14:43:08","2012-10-18 14:43:08","Pearson, Su","","Royal Botanic Gardens Victoria","","","Agapanthus praecox subsp. Orientalis","","","","","","","",,,2364,2836,,,,,"TIFF Image"
"flora_illustrations","8","AGLAPICT.TIF","","Aglaonema pictum","","Image","Illustration","","","","","2012-10-18 14:43:08","2012-10-18 14:43:08","Pearson, Su","","Royal Botanic Gardens Victoria","","","Aglaonema pictum","","","","","","","",,,2364,2836,,,,,"TIFF Image"
"flora_illustrations","9","AGLCOMTR.TIF","","Aglaonema commutatum treubii","","Image","Illustration","","","","","2012-10-18 14:43:08","2012-10-18 14:43:08","Pearson, Su","","Royal Botanic Gardens Victoria","","","Aglaonema commutatum treubii","","","","","","","",,,2364,2836,,,,,"TIFF Image"
"flora_illustrations","10","AGROCAPI.TIF","","Agrostis capillaris","","Image","Illustration","","","","","2012-10-18 14:43:10","2012-10-18 14:43:10","Pearson, Su","","Royal Botanic Gardens Victoria","","","Agrostis capillaris","","","","","","","",,,2362,2836,,,,,"TIFF Image"
